Name,NOGA No,Color,Kategorie
B150801VZA,01,#7597a3,Sonstige Dienstleistungen
B150802VZA,02,#7597a3,Sonstige Dienstleistungen
B150803VZA,03,#7597a3,Sonstige Dienstleistungen
B150804VZA,04,#e60000,Industrie & produzierendes Gewerbe
B150805VZA,05,#e60000,Industrie & produzierendes Gewerbe
B150806VZA,06,#e60000,Industrie & produzierendes Gewerbe
B150807VZA,07,#e60000,Industrie & produzierendes Gewerbe
B150808VZA,08,#e60000,Industrie & produzierendes Gewerbe
B150809VZA,09,,
B150810VZA,10,#e60000,Industrie & produzierendes Gewerbe
B150811VZA,11,#e60000,Industrie & produzierendes Gewerbe
B150812VZA,12,#e60000,Industrie & produzierendes Gewerbe
B150813VZA,13,#e60000,Industrie & produzierendes Gewerbe
B150814VZA,14,#e60000,Industrie & produzierendes Gewerbe
B150815VZA,15,#e60000,Industrie & produzierendes Gewerbe
B150816VZA,16,#e60000,Industrie & produzierendes Gewerbe
B150817VZA,17,#e60000,Industrie & produzierendes Gewerbe
B150818VZA,18,#e60000,Industrie & produzierendes Gewerbe
B150819VZA,19,#e60000,Industrie & produzierendes Gewerbe
B150820VZA,20,#e60000,Industrie & produzierendes Gewerbe
B150821VZA,21,#e60000,Industrie & produzierendes Gewerbe
B150822VZA,22,#e60000,Industrie & produzierendes Gewerbe
B150823VZA,23,#e60000,Industrie & produzierendes Gewerbe
B150824VZA,24,#e60000,Industrie & produzierendes Gewerbe
B150825VZA,25,#e60000,Industrie & produzierendes Gewerbe
B150826VZA,26,#e60000,Industrie & produzierendes Gewerbe
B150827VZA,27,#e60000,Industrie & produzierendes Gewerbe
B150828VZA,28,#e60000,Industrie & produzierendes Gewerbe
B150829VZA,29,#e60000,Industrie & produzierendes Gewerbe
B150830VZA,30,#e60000,Industrie & produzierendes Gewerbe
B150831VZA,31,#e60000,Industrie & produzierendes Gewerbe
B150832VZA,32,#e60000,Industrie & produzierendes Gewerbe
B150833VZA,33,#e60000,Industrie & produzierendes Gewerbe
B150834VZA,34,,
B150835VZA,35,#7597a3,Sonstige Dienstleistungen
B150836VZA,36,#7597a3,Sonstige Dienstleistungen
B150837VZA,37,#7597a3,Sonstige Dienstleistungen
B150838VZA,38,#f52929,Industrie & produzierendes Gewerbe
B150839VZA,39,#f52929,Industrie & produzierendes Gewerbe
B150840VZA,40,#f52929,Industrie & produzierendes Gewerbe
B150841VZA,41,#7597a3,Sonstige Dienstleistungen
B150842VZA,42,#7597a3,Sonstige Dienstleistungen
B150843VZA,43,#5b9cb3,Finanzdienstleistungen
B150844VZA,44,#7597a3,Sonstige Dienstleistungen
B150845VZA,45,#61d5ff,Publikumsorientierte Nutzungen
B150846VZA,46,#61d5ff,Publikumsorientierte Nutzungen
B150847VZA,47,#61d5ff,Publikumsorientierte Nutzungen
B150848VZA,48,#b8ecff,Freizeit, Gastronomie, Hotelerie
B150849VZA,49,#61d5ff,Publikumsorientierte Nutzungen
B150850VZA,50,#7597a3,Sonstige Dienstleistungen
B150851VZA,51,#7597a3,Sonstige Dienstleistungen
B150852VZA,52,#f52929,Industrie & produzierendes Gewerbe
B150853VZA,53,#7597a3,Sonstige Dienstleistungen
B150854VZA,54,#a4ff24,Freizeit, Gastronomie, Hotelerie
B150855VZA,55,#a4ff24,Freizeit, Gastronomie, Hotelerie
B150856VZA,56,,
B150857VZA,57,#7597a3,Sonstige Dienstleistungen
B150858VZA,58,#7597a3,Sonstige Dienstleistungen
B150859VZA,59,#7597a3,Sonstige Dienstleistungen
B150860VZA,60,#7597a3,Sonstige Dienstleistungen
B150861VZA,61,#7597a3,Sonstige Dienstleistungen
B150862VZA,62,#7597a3,Sonstige Dienstleistungen
B150863VZA,63,#7597a3,Sonstige Dienstleistungen
B150864VZA,64,#26639c,Finanzdienstleistungen
B150865VZA,65,#26639c,Finanzdienstleistungen
B150866VZA,66,#26639c,Finanzdienstleistungen
B150867VZA,67,,
B150868VZA,68,#7597a3,Sonstige Dienstleistungen
B150869VZA,69,#7597a3,Sonstige Dienstleistungen
B150870VZA,70,#7597a3,Sonstige Dienstleistungen
B150871VZA,71,#7597a3,Sonstige Dienstleistungen
B150872VZA,72,#ff00b7,Bildung & Forschung
B150873VZA,73,#ff00b7,Bildung & Forschung
B150874VZA,74,#ff00b7,Bildung & Forschung
B150875VZA,75,#7597a3,Sonstige Dienstleistungen
B150876VZA,76,#7597a3,Sonstige Dienstleistungen
B150877VZA,77,#7597a3,Sonstige Dienstleistungen
B150878VZA,78,#7597a3,Sonstige Dienstleistungen
B150879VZA,79,,
B150880VZA,80,#7597a3,Sonstige Dienstleistungen
B150881VZA,81,#7597a3,Sonstige Dienstleistungen
B150882VZA,82,#7597a3,Sonstige Dienstleistungen
B150883VZA,83,#7597a3,Sonstige Dienstleistungen
B150884VZA,84,#7597a3,Sonstige Dienstleistungen
B150885VZA,85,#ff00b7,Bildung & Forschung
B150886VZA,86,#bfab2b,Freizeit, Gastronomie, Hotelerie
B150887VZA,87,#bfab2b,Freizeit, Gastronomie, Hotelerie
B150888VZA,88,#bfab2b,Freizeit, Gastronomie, Hotelerie
B150889VZA,89,#bfab2b,Freizeit, Gastronomie, Hotelerie
B150890VZA,90,#a4ff24,Freizeit, Gastronomie, Hotelerie
B150891VZA,91,,
B150892VZA,92,#a4ff24,Freizeit, Gastronomie, Hotelerie
B150893VZA,93,,
B150894VZA,94,#ffea61,Gesundheit & Soziale Einrichtungen
B150895VZA,95,#5b9cb3,Finanzdienstleistungen
B150896VZA,96,#5b9cb3,Finanzdienstleistungen
