BTOT,yr,RELI,wkt,WT1,WT2,WT3,WT4,WT5,WT6
83,2014,67852485,POINT(8.478197 47.382655),0,0,24,15,0,0
72,2014,67872477,POINT(8.480705 47.375437),0,1,8,17,5,1
110,2014,67872485,POINT(8.480846 47.382632),17,38,33,15,0,0
105,2014,67852492,POINT(8.47832 47.388951),3,7,52,3,0,1
114,2014,68052464,POINT(8.504302 47.363528),0,0,0,9,20,0
172,2014,68092472,POINT(8.509742 47.370674),10,59,58,2,0,0
92,2014,68112519,POINT(8.513241 47.412918),0,8,34,9,0,0
155,2014,68112478,POINT(8.512498 47.376045),0,5,55,4,2,0
115,2014,68072520,POINT(8.50796 47.413866),0,24,20,12,0,0
377,2014,68112484,POINT(8.512607 47.381441),0,9,123,5,0,0
116,2014,68022483,POINT(8.500672 47.380652),17,3,10,17,10,2
35,2014,68062517,POINT(8.506581 47.411181),0,0,12,0,4,0
316,2014,68132478,POINT(8.515146 47.37602),33,49,117,26,0,0
306,2014,68132474,POINT(8.515073 47.372423),6,19,131,16,1,3
20,2014,68102459,POINT(8.51083 47.35897),0,1,3,3,1,0
74,2014,68072465,POINT(8.506968 47.364403),0,6,8,11,7,0
74,2014,68032468,POINT(8.501727 47.36715),5,22,24,0,0,1
26,2014,68062460,POINT(8.505554 47.359918),8,16,6,0,0,0
72,2014,68082519,POINT(8.509267 47.412955),29,18,0,1,0,0
41,2014,68072517,POINT(8.507906 47.411168),0,0,8,0,8,0
6,2014,68102496,POINT(8.5115 47.392246),1,0,1,1,0,0
37,2014,68052484,POINT(8.504662 47.381515),0,18,9,0,0,0
65,2014,68042481,POINT(8.503284 47.378829),0,24,16,0,0,0
20,2014,68192442,POINT(8.522431 47.34357),23,0,0,0,0,0
125,2014,68212475,POINT(8.525683 47.373223),13,6,21,26,0,0
236,2014,68212490,POINT(8.525958 47.386713),2,30,72,36,0,0
279,2014,68152457,POINT(8.517412 47.35711),12,11,84,17,15,0
87,2014,68212437,POINT(8.524986 47.339048),0,4,30,13,1,4
87,2014,68152456,POINT(8.517393 47.35621),17,29,6,1,4,2
133,2014,68212456,POINT(8.525334 47.356136),39,6,9,12,6,5
246,2014,68212489,POINT(8.525939 47.385814),29,29,133,4,0,0
8,2014,68152491,POINT(8.518031 47.387687),1,0,0,2,0,0
91,2014,67942472,POINT(8.489884 47.370856),3,11,34,7,0,0
137,2014,67942475,POINT(8.489937 47.373554),0,4,51,17,0,0
45,2014,68012505,POINT(8.499742 47.40045),0,4,11,4,3,2
65,2014,67922472,POINT(8.487236 47.37088),5,6,4,9,4,5
176,2014,68012486,POINT(8.499401 47.383362),8,25,53,10,0,0
50,2014,67912507,POINT(8.486531 47.402369),1,0,4,8,2,6
36,2014,67932486,POINT(8.488808 47.383459),32,0,28,12,0,0
71,2014,67942511,POINT(8.490576 47.40593),2,13,24,7,2,1
219,2014,67962487,POINT(8.492798 47.384322),0,14,41,36,9,10
174,2014,67992474,POINT(8.496539 47.372594),39,41,11,24,4,3
156,2014,67932498,POINT(8.489021 47.394251),7,5,30,1,1,1
28,2014,67932487,POINT(8.488826 47.384358),0,0,6,6,0,0
217,2014,68232480,POINT(8.528422 47.377695),12,19,55,25,1,1
58,2014,68242451,POINT(8.529213 47.351602),1,6,12,12,2,4
121,2014,68272523,POINT(8.534513 47.416316),1,0,8,16,17,1
33,2014,68282431,POINT(8.534137 47.333565),1,1,6,7,1,2
44,2014,68232513,POINT(8.529029 47.407373),0,2,6,13,0,0
97,2014,68262462,POINT(8.532062 47.361469),5,2,13,10,10,9
97,2014,68262463,POINT(8.532081 47.362369),5,20,21,11,4,3
51,2014,68232441,POINT(8.527706 47.342621),2,5,14,7,5,2
47,2014,68222473,POINT(8.52697 47.371412),1,4,9,14,0,0
73,2014,68262471,POINT(8.532228 47.369563),3,9,13,1,8,0
4,2014,68282475,POINT(8.53495 47.373136),0,0,1,3,1,0
51,2014,68282514,POINT(8.535672 47.40821),11,25,2,3,0,0
111,2014,68382488,POINT(8.548432 47.384701),32,3,9,21,3,3
161,2014,68402486,POINT(8.551043 47.382876),3,7,14,27,15,0
30,2014,68412455,POINT(8.551785 47.354984),1,0,0,1,5,4
89,2014,68412456,POINT(8.551803 47.355884),2,9,16,18,2,4
49,2014,68412483,POINT(8.552311 47.380166),0,1,8,8,7,1
140,2014,68412458,POINT(8.551841 47.357682),34,45,24,15,2,0
146,2014,68412462,POINT(8.551916 47.36128),31,33,26,14,4,2
79,2014,68432453,POINT(8.554394 47.35316),10,28,19,7,2,0
216,2014,68452472,POINT(8.557399 47.370222),7,14,54,37,15,0
132,2014,68442459,POINT(8.55583 47.358543),5,19,36,23,7,2
49,2014,68362527,POINT(8.546513 47.4198),2,7,11,2,2,1
211,2014,68392508,POINT(8.550131 47.402674),41,34,49,23,1,1
26,2014,68442474,POINT(8.556113 47.372033),3,6,2,0,4,3
156,2014,68352473,POINT(8.54418 47.371249),31,50,20,21,7,1
162,2014,68352493,POINT(8.544553 47.389235),39,10,34,21,4,0
165,2014,68392487,POINT(8.549738 47.383789),75,13,22,9,5,8
12,2014,68402474,POINT(8.550818 47.372084),0,0,0,0,0,3
126,2014,68432471,POINT(8.554733 47.369348),1,14,21,21,9,6
128,2014,68352490,POINT(8.544497 47.386537),6,4,18,35,7,0
77,2014,68372497,POINT(8.547276 47.392807),0,30,5,0,2,0
82,2014,68422515,POINT(8.554237 47.408931),6,13,39,1,0,0
